QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,64.2462225398174,False,"linked-list,recursion",algorithms
22,Generate Parentheses,generate-parentheses,Medium,74.517265131298,False,"string,dynamic-programming,backtracking",algorithms
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,52.730456299166484,False,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort",algorithms
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,64.329744285065,False,"linked-list,recursion",algorithms
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,58.62711916714674,False,"linked-list,recursion",algorithms
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,55.59415018620375,False,"array,two-pointers",algorithms
27,Remove Element,remove-element,Easy,56.728646224445555,False,"array,two-pointers",algorithms
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,42.27585690450596,False,"two-pointers,string,string-matching",algorithms
29,Divide Two Integers,divide-two-integers,Medium,17.461235106820904,False,"math,bit-manipulation",algorithms
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,32.580986184709666,False,"hash-table,string,sliding-window",algorithms
31,Next Permutation,next-permutation,Medium,39.86871992450839,False,"array,two-pointers",algorithms
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,34.139259985818626,False,"string,dynamic-programming,stack",algorithms
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,40.720425368662355,False,"array,binary-search",algorithms
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,44.25104389188961,False,"array,binary-search",algorithms
35,Search Insert Position,search-insert-position,Easy,45.87592572706109,False,"array,binary-search",algorithms
36,Valid Sudoku,valid-sudoku,Medium,59.625426237250814,False,"array,hash-table,matrix",algorithms
37,Sudoku Solver,sudoku-solver,Hard,61.06915098692319,False,"array,hash-table,backtracking,matrix",algorithms
38,Count and Say,count-and-say,Medium,55.0216528859223,False,string,algorithms
39,Combination Sum,combination-sum,Medium,71.39420688206961,False,"array,backtracking",algorithms
40,Combination Sum II,combination-sum-ii,Medium,54.50510458308969,False,"array,backtracking",algorithms
41,First Missing Positive,first-missing-positive,Hard,39.47468102598696,False,"array,hash-table",algorithms
42,Trapping Rain Water,trapping-rain-water,Hard,61.93668379003089,False,"array,two-pointers,dynamic-programming,stack,monotonic-stack",algorithms
43,Multiply Strings,multiply-strings,Medium,40.37873199319686,False,"math,string,simulation",algorithms
44,Wildcard Matching,wildcard-matching,Hard,27.932487656003914,False,"string,dynamic-programming,greedy,recursion",algorithms
45,Jump Game II,jump-game-ii,Medium,40.445514726140416,False,"array,dynamic-programming,greedy",algorithms
46,Permutations,permutations,Medium,78.30600871089612,False,"array,backtracking",algorithms
47,Permutations II,permutations-ii,Medium,59.189592438360684,False,"array,backtracking",algorithms
48,Rotate Image,rotate-image,Medium,74.27237876224947,False,"array,math,matrix",algorithms
49,Group Anagrams,group-anagrams,Medium,68.50563476136547,False,"array,hash-table,string,sorting",algorithms
50,"Pow(x, n)",powx-n,Medium,34.77716004764127,False,"math,recursion",algorithms
51,N-Queens,n-queens,Hard,68.14197823908238,False,"array,backtracking",algorithms
52,N-Queens II,n-queens-ii,Hard,73.86639424978095,False,backtracking,algorithms
53,Maximum Subarray,maximum-subarray,Medium,50.76471887185956,False,"array,divide-and-conquer,dynamic-programming",algorithms
54,Spiral Matrix,spiral-matrix,Medium,49.41762885149651,False,"array,matrix,simulation",algorithms
55,Jump Game,jump-game,Medium,38.50276648030659,False,"array,dynamic-programming,greedy",algorithms
56,Merge Intervals,merge-intervals,Medium,47.30092797402822,False,"array,sorting",algorithms
57,Insert Interval,insert-interval,Medium,41.482144400423934,False,array,algorithms
58,Length of Last Word,length-of-last-word,Easy,51.55192193845172,False,string,algorithms
59,Spiral Matrix II,spiral-matrix-ii,Medium,71.07019939770488,False,"array,matrix,simulation",algorithms
60,Permutation Sequence,permutation-sequence,Hard,46.88121490495028,False,"math,recursion",algorithms
61,Rotate List,rotate-list,Medium,37.71138222458004,False,"linked-list,two-pointers",algorithms
62,Unique Paths,unique-paths,Medium,64.27240139781748,False,"math,dynamic-programming,combinatorics",algorithms
63,Unique Paths II,unique-paths-ii,Medium,41.53549825574363,False,"array,dynamic-programming,matrix",algorithms
64,Minimum Path Sum,minimum-path-sum,Medium,63.84650952884156,False,"array,dynamic-programming,matrix",algorithms
65,Valid Number,valid-number,Hard,19.78946454944853,False,string,algorithms
66,Plus One,plus-one,Easy,45.23867310187475,False,"array,math",algorithms
67,Add Binary,add-binary,Easy,53.51622134570489,False,"math,string,bit-manipulation,simulation",algorithms
68,Text Justification,text-justification,Hard,43.34176979563173,False,"array,string,simulation",algorithms
69,Sqrt(x),sqrtx,Easy,38.738178793449954,False,"math,binary-search",algorithms
70,Climbing Stairs,climbing-stairs,Easy,52.869785909160896,False,"math,dynamic-programming,memoization",algorithms
71,Simplify Path,simplify-path,Medium,42.33817027580204,False,"string,stack",algorithms
72,Edit Distance,edit-distance,Medium,56.3953635782543,False,"string,dynamic-programming",algorithms
73,Set Matrix Zeroes,set-matrix-zeroes,Medium,55.564391669844035,False,"array,hash-table,matrix",algorithms
74,Search a 2D Matrix,search-a-2d-matrix,Medium,50.067442501716556,False,"array,binary-search,matrix",algorithms
75,Sort Colors,sort-colors,Medium,62.19895040795613,False,"array,two-pointers,sorting",algorithms
76,Minimum Window Substring,minimum-window-substring,Hard,42.98290736231466,False,"hash-table,string,sliding-window",algorithms
77,Combinations,combinations,Medium,70.3648466857146,False,backtracking,algorithms
78,Subsets,subsets,Medium,77.44376737524922,False,"array,backtracking,bit-manipulation",algorithms
79,Word Search,word-search,Medium,42.742153351845566,False,"array,string,backtracking,matrix",algorithms
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,58.155951925131646,False,"array,two-pointers",algorithms
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,37.65058774210486,False,"array,binary-search",algorithms
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,47.435022260741086,False,"linked-list,two-pointers",algorithms
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,52.49377095530456,False,linked-list,algorithms
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,44.434251909540215,False,"array,stack,monotonic-stack",algorithms
85,Maximal Rectangle,maximal-rectangle,Hard,50.36429452278885,False,"array,dynamic-programming,stack,matrix,monotonic-stack",algorithms
86,Partition List,partition-list,Medium,56.24145130269127,False,"linked-list,two-pointers",algorithms
87,Scramble String,scramble-string,Hard,40.0855381258925,False,"string,dynamic-programming",algorithms
88,Merge Sorted Array,merge-sorted-array,Easy,49.582811521476636,False,"array,two-pointers,sorting",algorithms
89,Gray Code,gray-code,Medium,59.15578062381077,False,"math,backtracking,bit-manipulation",algorithms
90,Subsets II,subsets-ii,Medium,57.245559091658315,False,"array,backtracking,bit-manipulation",algorithms
91,Decode Ways,decode-ways,Medium,34.86783791051026,False,"string,dynamic-programming",algorithms
92,Reverse Linked List II,reverse-linked-list-ii,Medium,47.67217487247906,False,linked-list,algorithms
93,Restore IP Addresses,restore-ip-addresses,Medium,49.84419433036514,False,"string,backtracking",algorithms
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,76.0901816603724,False,"stack,tree,depth-first-search,binary-tree",algorithms
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,57.716414859272,False,"dynamic-programming,backtracking,tree,binary-search-tree,binary-tree",algorithms
96,Unique Binary Search Trees,unique-binary-search-trees,Medium,61.01551394242682,False,"math,dynamic-programming,tree,binary-search-tree,binary-tree",algorithms
97,Interleaving String,interleaving-string,Medium,39.96451258193794,False,"string,dynamic-programming",algorithms
98,Validate Binary Search Tree,validate-binary-search-tree,Medium,32.91958135255656,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
99,Recover Binary Search Tree,recover-binary-search-tree,Medium,53.09668930440581,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
100,Same Tree,same-tree,Easy,62.060873711855315,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
101,Symmetric Tree,symmetric-tree,Easy,56.4621385956861,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,67.16563574050484,False,"tree,breadth-first-search,binary-tree",algorithms
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,58.91664287753354,False,"tree,breadth-first-search,binary-tree",algorithms
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,75.32752970312619,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,63.86335412893555,False,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,62.7976503925617,False,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,Medium,63.37830352514,False,"tree,breadth-first-search,binary-tree",algorithms
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,71.66539105174701,False,"array,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,61.89869871005955,False,"linked-list,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
110,Balanced Binary Tree,balanced-binary-tree,Easy,52.008988934007185,False,"tree,depth-first-search,binary-tree",algorithms
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,Easy,47.85828691272656,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
112,Path Sum,path-sum,Easy,50.35266088147867,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
113,Path Sum II,path-sum-ii,Medium,58.460798950338436,False,"backtracking,tree,depth-first-search,binary-tree",algorithms
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,Medium,64.87045025604043,False,"linked-list,stack,tree,depth-first-search,binary-tree",algorithms
115,Distinct Subsequences,distinct-subsequences,Hard,46.91568097005977,False,"string,dynamic-programming",algorithms
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,Medium,62.65836763863163,False,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,Medium,52.47373936370876,False,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
118,Pascal's Triangle,pascals-triangle,Easy,74.20371245273823,False,"array,dynamic-programming",algorithms
119,Pascal's Triangle II,pascals-triangle-ii,Easy,63.97463354204223,False,"array,dynamic-programming",algorithms
120,Triangle,triangle,Medium,56.52617386003822,False,"array,dynamic-programming",algorithms
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,53.62839476079617,False,"array,dynamic-programming",algorithms
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,Medium,66.42001032581022,False,"array,dynamic-programming,greedy",algorithms
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,47.93688607380997,False,"array,dynamic-programming",algorithms
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,40.024044892607186,False,"dynamic-programming,tree,depth-first-search,binary-tree",algorithms
125,Valid Palindrome,valid-palindrome,Easy,47.418297311433975,False,"two-pointers,string",algorithms
126,Word Ladder II,word-ladder-ii,Hard,27.28398885103747,False,"hash-table,string,backtracking,breadth-first-search",algorithms
127,Word Ladder,word-ladder,Hard,39.15462229494575,False,"hash-table,string,breadth-first-search",algorithms
128,Longest Consecutive Sequence,longest-consecutive-sequence,Medium,47.29030098476249,False,"array,hash-table,union-find",algorithms
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,65.75629409802309,False,"tree,depth-first-search,binary-tree",algorithms
130,Surrounded Regions,surrounded-regions,Medium,39.38707016194279,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
131,Palindrome Partitioning,palindrome-partitioning,Medium,67.51532227735902,False,"string,dynamic-programming,backtracking",algorithms
132,Palindrome Partitioning II,palindrome-partitioning-ii,Hard,33.937991568383644,False,"string,dynamic-programming",algorithms
133,Clone Graph,clone-graph,Medium,57.25195882393729,False,"hash-table,depth-first-search,breadth-first-search,graph",algorithms
134,Gas Station,gas-station,Medium,45.525044034130985,False,"array,greedy",algorithms
135,Candy,candy,Hard,43.301723508299915,False,"array,greedy",algorithms
136,Single Number,single-number,Easy,72.83651187326112,False,"array,bit-manipulation",algorithms
137,Single Number II,single-number-ii,Medium,62.60562149985513,False,"array,bit-manipulation",algorithms
138,Copy List with Random Pointer,copy-list-with-random-pointer,Medium,56.06500050397138,False,"hash-table,linked-list",algorithms
139,Word Break,word-break,Medium,46.772514682171355,False,"array,hash-table,string,dynamic-programming,trie,memoization",algorithms
140,Word Break II,word-break-ii,Hard,47.981192948018666,False,"array,hash-table,string,dynamic-programming,backtracking,trie,memoization",algorithms
141,Linked List Cycle,linked-list-cycle,Easy,50.3837741822444,False,"hash-table,linked-list,two-pointers",algorithms
142,Linked List Cycle II,linked-list-cycle-ii,Medium,51.26752287922442,False,"hash-table,linked-list,two-pointers",algorithms
143,Reorder List,reorder-list,Medium,58.652541199279874,False,"linked-list,two-pointers,stack,recursion",algorithms
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,69.47952580005546,False,"stack,tree,depth-first-search,binary-tree",algorithms
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,70.89629776950105,False,"stack,tree,depth-first-search,binary-tree",algorithms
146,LRU Cache,lru-cache,Medium,42.44248439174341,False,"hash-table,linked-list,design,doubly-linked-list",algorithms
147,Insertion Sort List,insertion-sort-list,Medium,53.557795915874514,False,"linked-list,sorting",algorithms
148,Sort List,sort-list,Medium,57.874425645473046,False,"linked-list,two-pointers,divide-and-conquer,sorting,merge-sort",algorithms
149,Max Points on a Line,max-points-on-a-line,Hard,26.71128153102808,False,"array,hash-table,math,geometry",algorithms
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,51.3931258592676,False,"array,math,stack",algorithms
151,Reverse Words in a String,reverse-words-in-a-string,Medium,42.19128894995903,False,"two-pointers,string",algorithms
152,Maximum Product Subarray,maximum-product-subarray,Medium,35.07014852216418,False,"array,dynamic-programming",algorithms
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,50.33756513330041,False,"array,binary-search",algorithms
154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,43.664320245751384,False,"array,binary-search",algorithms
155,Min Stack,min-stack,Medium,54.13366209550339,False,"stack,design",algorithms
156,Binary Tree Upside Down,binary-tree-upside-down,Medium,62.76035875769031,True,"tree,depth-first-search,binary-tree",algorithms
157,Read N Characters Given Read4,read-n-characters-given-read4,Easy,41.50281726408959,True,"array,simulation,interactive",algorithms
158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,42.261858058679906,True,"array,simulation,interactive",algorithms
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,55.37576149021408,True,"hash-table,string,sliding-window",algorithms
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,57.4167930172216,False,"hash-table,linked-list,two-pointers",algorithms
161,One Edit Distance,one-edit-distance,Medium,34.29125467022175,True,"two-pointers,string",algorithms
162,Find Peak Element,find-peak-element,Medium,45.94243065261892,False,"array,binary-search",algorithms
163,Missing Ranges,missing-ranges,Easy,33.65933872049119,True,array,algorithms
164,Maximum Gap,maximum-gap,Medium,45.905100762461274,False,"array,sorting,bucket-sort,radix-sort",algorithms
165,Compare Version Numbers,compare-version-numbers,Medium,36.88187578550989,False,"two-pointers,string",algorithms
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,25.021436197578122,False,"hash-table,math,string",algorithms
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,61.24078841802589,False,"array,two-pointers,binary-search",algorithms
168,Excel Sheet Column Title,excel-sheet-column-title,Easy,40.61732493049582,False,"math,string",algorithms
169,Majority Element,majority-element,Easy,64.81682887670853,False,"array,hash-table,divide-and-conquer,sorting,counting",algorithms
170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,38.023540806040366,True,"array,hash-table,two-pointers,design,data-stream",algorithms
171,Excel Sheet Column Number,excel-sheet-column-number,Easy,63.73247368189844,False,"math,string",algorithms
172,Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,43.32024828179614,False,math,algorithms
173,Binary Search Tree Iterator,binary-search-tree-iterator,Medium,71.98304585032768,False,"stack,tree,design,binary-search-tree,binary-tree,iterator",algorithms
174,Dungeon Game,dungeon-game,Hard,38.10419188217043,False,"array,dynamic-programming,matrix",algorithms
175,Combine Two Tables,combine-two-tables,Easy,75.90315500581873,False,database,database
176,Second Highest Salary,second-highest-salary,Medium,40.3475316984773,False,database,database
177,Nth Highest Salary,nth-highest-salary,Medium,37.976405249739244,False,database,database
178,Rank Scores,rank-scores,Medium,62.27601118649334,False,database,database
179,Largest Number,largest-number,Medium,36.13105486276811,False,"array,string,greedy,sorting",algorithms
180,Consecutive Numbers,consecutive-numbers,Medium,46.888183147915804,False,database,database
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,69.5047291279802,False,database,database
182,Duplicate Emails,duplicate-emails,Easy,71.06359606359607,False,database,database
183,Customers Who Never Order,customers-who-never-order,Easy,69.11121513730882,False,database,database
184,Department Highest Salary,department-highest-salary,Medium,51.655365736121574,False,database,database
185,Department Top Three Salaries,department-top-three-salaries,Hard,53.15708759488228,False,database,database
186,Reverse Words in a String II,reverse-words-in-a-string-ii,Medium,54.57864530541817,True,"two-pointers,string",algorithms
187,Repeated DNA Sequences,repeated-dna-sequences,Medium,48.86429326570043,False,"hash-table,string,bit-manipulation,sliding-window,rolling-hash,hash-function",algorithms
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,42.705851154329075,False,"array,dynamic-programming",algorithms
189,Rotate Array,rotate-array,Medium,40.55507644874123,False,"array,math,two-pointers",algorithms
190,Reverse Bits,reverse-bits,Easy,58.47714762091035,False,"divide-and-conquer,bit-manipulation",algorithms
191,Number of 1 Bits,number-of-1-bits,Easy,70.92038004629897,False,"divide-and-conquer,bit-manipulation",algorithms
192,Word Frequency,word-frequency,Medium,25.755543884517916,False,shell,shell
193,Valid Phone Numbers,valid-phone-numbers,Easy,25.998275813067824,False,shell,shell
194,Transpose File,transpose-file,Medium,26.34261317234036,False,shell,shell
195,Tenth Line,tenth-line,Easy,33.35407218383254,False,shell,shell
196,Delete Duplicate Emails,delete-duplicate-emails,Easy,61.83982877549439,False,database,database
197,Rising Temperature,rising-temperature,Easy,47.3228493363596,False,database,database
198,House Robber,house-robber,Medium,50.98506029997628,False,"array,dynamic-programming",algorithms
199,Binary Tree Right Side View,binary-tree-right-side-view,Medium,63.05233157063389,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
200,Number of Islands,number-of-islands,Medium,59.449908665360184,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,Medium,46.88730344604916,False,bit-manipulation,algorithms
202,Happy Number,happy-number,Easy,56.079744556065044,False,"hash-table,math,two-pointers",algorithms
203,Remove Linked List Elements,remove-linked-list-elements,Easy,48.7436354644805,False,"linked-list,recursion",algorithms
204,Count Primes,count-primes,Medium,33.590391477368826,False,"array,math,enumeration,number-theory",algorithms
205,Isomorphic Strings,isomorphic-strings,Easy,45.121691791980226,False,"hash-table,string",algorithms
206,Reverse Linked List,reverse-linked-list,Easy,76.50139106011036,False,"linked-list,recursion",algorithms
207,Course Schedule,course-schedule,Medium,46.72858674097966,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,65.09736942451745,False,"hash-table,string,design,trie",algorithms
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,Medium,47.07750640481365,False,"array,binary-search,sliding-window,prefix-sum",algorithms
210,Course Schedule II,course-schedule-ii,Medium,50.41277566057729,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,Medium,45.20964922235358,False,"string,depth-first-search,design,trie",algorithms
212,Word Search II,word-search-ii,Hard,36.2794121422297,False,"array,string,backtracking,trie,matrix",algorithms
213,House Robber II,house-robber-ii,Medium,41.96438052247623,False,"array,dynamic-programming",algorithms
214,Shortest Palindrome,shortest-palindrome,Hard,33.42771230599705,False,"string,rolling-hash,string-matching,hash-function",algorithms
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,Medium,66.773937061951,False,"array,divide-and-conquer,sorting,heap-priority-queue,quickselect",algorithms
216,Combination Sum III,combination-sum-iii,Medium,69.61975181885425,False,"array,backtracking",algorithms
217,Contains Duplicate,contains-duplicate,Easy,61.653038993662335,False,"array,hash-table,sorting",algorithms
218,The Skyline Problem,the-skyline-problem,Hard,42.66189014798501,False,"array,divide-and-conquer,binary-indexed-tree,segment-tree,line-sweep,heap-priority-queue,ordered-set",algorithms
219,Contains Duplicate II,contains-duplicate-ii,Easy,45.07129520603903,False,"array,hash-table,sliding-window",algorithms
220,Contains Duplicate III,contains-duplicate-iii,Hard,22.748707536910068,False,"array,sliding-window,sorting,bucket-sort,ordered-set",algorithms
221,Maximal Square,maximal-square,Medium,46.535216347229266,False,"array,dynamic-programming,matrix",algorithms
222,Count Complete Tree Nodes,count-complete-tree-nodes,Easy,65.14465248463695,False,"binary-search,bit-manipulation,tree,binary-tree",algorithms
223,Rectangle Area,rectangle-area,Medium,46.18364054050674,False,"math,geometry",algorithms
224,Basic Calculator,basic-calculator,Hard,43.410163392492194,False,"math,string,stack,recursion",algorithms
225,Implement Stack using Queues,implement-stack-using-queues,Easy,63.64664219674129,False,"stack,design,queue",algorithms
226,Invert Binary Tree,invert-binary-tree,Easy,76.93479838173995,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
227,Basic Calculator II,basic-calculator-ii,Medium,43.59687978555151,False,"math,string,stack",algorithms
228,Summary Ranges,summary-ranges,Easy,50.6010075011031,False,array,algorithms
229,Majority Element II,majority-element-ii,Medium,51.43142525369198,False,"array,hash-table,sorting,counting",algorithms
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,72.48884995919428,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
231,Power of Two,power-of-two,Easy,47.74987184168114,False,"math,bit-manipulation,recursion",algorithms
232,Implement Queue using Stacks,implement-queue-using-stacks,Easy,66.21334567762366,False,"stack,design,queue",algorithms
233,Number of Digit One,number-of-digit-one,Hard,34.57492276776342,False,"math,dynamic-programming,recursion",algorithms
234,Palindrome Linked List,palindrome-linked-list,Easy,53.14235684366212,False,"linked-list,two-pointers,stack,recursion",algorithms
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,64.69662611977468,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,Medium,62.16371311412926,False,"tree,depth-first-search,binary-tree",algorithms
237,Delete Node in a Linked List,delete-node-in-a-linked-list,Medium,78.44804971174301,False,linked-list,algorithms
238,Product of Array Except Self,product-of-array-except-self,Medium,66.17654898674358,False,"array,prefix-sum",algorithms
239,Sliding Window Maximum,sliding-window-maximum,Hard,46.56781428490797,False,"array,queue,sliding-window,heap-priority-queue,monotonic-queue",algorithms
240,Search a 2D Matrix II,search-a-2d-matrix-ii,Medium,52.60214775728008,False,"array,binary-search,divide-and-conquer,matrix",algorithms
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,Medium,65.40394209634239,False,"math,string,dynamic-programming,recursion,memoization",algorithms
242,Valid Anagram,valid-anagram,Easy,64.49113633585058,False,"hash-table,string,sorting",algorithms
243,Shortest Word Distance,shortest-word-distance,Easy,65.32071606861403,True,"array,string",algorithms
244,Shortest Word Distance II,shortest-word-distance-ii,Medium,61.193450080692635,True,"array,hash-table,two-pointers,string,design",algorithms
245,Shortest Word Distance III,shortest-word-distance-iii,Medium,58.4606827306373,True,"array,string",algorithms
246,Strobogrammatic Number,strobogrammatic-number,Easy,47.68151160484031,True,"hash-table,two-pointers,string",algorithms
247,Strobogrammatic Number II,strobogrammatic-number-ii,Medium,52.289141257817754,True,"array,string,recursion",algorithms
248,Strobogrammatic Number III,strobogrammatic-number-iii,Hard,42.124914746783496,True,"array,string,recursion",algorithms
249,Group Shifted Strings,group-shifted-strings,Medium,65.58883138200761,True,"array,hash-table,string",algorithms
250,Count Univalue Subtrees,count-univalue-subtrees,Medium,56.404720302419875,True,"tree,depth-first-search,binary-tree",algorithms
251,Flatten 2D Vector,flatten-2d-vector,Medium,49.479252509555536,True,"array,two-pointers,design,iterator",algorithms
252,Meeting Rooms,meeting-rooms,Easy,58.04819959141951,True,"array,sorting",algorithms
253,Meeting Rooms II,meeting-rooms-ii,Medium,51.25192253864556,True,"array,two-pointers,greedy,sorting,heap-priority-queue,prefix-sum",algorithms
